id,ra,dec,label,label_source,quality_flag,notes
1,53.09301217,-27.954545657,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
2,53.08961288,-27.959742111,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
3,53.102912559,-27.9596415,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
4,53.101708832,-27.95848147,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
5,53.102276954,-27.958683331,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
6,53.090576503,-27.958514831,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
7,53.099963847,-27.958278396,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
8,53.096143558,-27.957582592,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
9,53.091571802,-27.958366605,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
10,53.091852209,-27.958180741,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
11,53.089615266,-27.958041317,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
12,53.090977689,-27.957847031,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
13,53.093473842,-27.957127482,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
14,53.104510801,-27.957059353,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
